14:25:21 INFO | Running autotest_quickmerge step.
14:25:22 INFO | quickmerge| 14:25:22: INFO: RunCommand: sudo -- /usr/bin/python2 /mnt/host/source/chromite/bin/autotest_quickmerge '--board=lars'
14:25:22 INFO | quickmerge| 14:25:22: INFO: RunCommand: rsync -a --no-p '--chmod=ugo=rwX' -u -i '--exclude=**.pyc' '--exclude=**.pyo' '--exclude=** -> *' '--include-from=/mnt/host/source/chromite/scripts/autotest-quickmerge-includepatterns' '--exclude=*' /mnt/host/source/src/third_party/autotest/files/ /build/lars/usr/local/build/autotest/
14:25:22 INFO | quickmerge| 14:25:22: INFO: Updating portage database.
14:25:23 INFO | quickmerge| 14:25:23: INFO: RunCommand: touch /build/lars/usr/local/build/autotest/.quickmerge_sentinel
14:25:23 INFO | quickmerge| 14:25:23: INFO: Quickmerge complete. Created or modified 0 files.
14:25:23 INFO | Re-running test_that script in /build/lars/usr/local/build/autotest copy of autotest.
14:25:25 INFO | Began logging to /tmp/test_that_results__quDNX
Adding labels [u'cros-version:ad_hoc_build', u'board:lars'] to host 192.168.1.42
16:25:25 INFO | Fetching suite for suite named bvt-cq...
16:25:26 INFO | Scheduling suite for suite named bvt-cq...
16:25:27 INFO | ... scheduled 46 job(s).
16:25:27 INFO | autoserv| Results placed in /tmp/test_that_results__quDNX/results-01-audio_CrasSanity
16:25:27 INFO | autoserv| Logged pid 6201 to /tmp/test_that_results__quDNX/results-01-audio_CrasSanity/.autoserv_execute
16:25:27 INFO | autoserv| I am PID 6201
16:25:27 INFO | autoserv| Not checking if job_repo_url contains autotest packages on ['192.168.1.42']
16:25:27 INFO | autoserv| Processing control file
16:25:27 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_utbT9gssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmp2on_1Z -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
16:25:30 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_vXjAhAssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
16:25:31 INFO | autoserv| INFO	----	----	kernel=3.18.0-00003-g9bc7c2f	localtime=Feb 11 16:25:31	timestamp=1455229531
16:25:31 INFO | autoserv| Installing autotest on 192.168.1.42
16:25:31 INFO | autoserv| Using installation dir /usr/local/autotest
16:25:33 INFO | autoserv| Installation of autotest completed from /build/lars/usr/local/build/autotest/client/
16:25:33 INFO | autoserv| Installing updated global_config.ini.
16:25:38 INFO | autoserv| Executing /usr/local/autotest/bin/autotest /usr/local/autotest/control phase 0
16:25:41 INFO | autoserv| Entered autotestd_monitor.
16:25:41 INFO | autoserv| Finished launching tail subprocesses.
16:25:41 INFO | autoserv| Finished waiting on autotestd to start.
16:25:42 INFO | autoserv| START	----	----	timestamp=1455229546	localtime=Feb 11 16:25:46
16:25:42 INFO | autoserv| START	audio_CrasSanity	audio_CrasSanity	timestamp=1455229547	localtime=Feb 11 16:25:47
16:25:42 INFO | autoserv| Bundling /build/lars/usr/local/build/autotest/client/site_tests/audio_CrasSanity into test-audio_CrasSanity.tar.bz2
16:26:17 INFO | autoserv| ERROR	audio_CrasSanity	audio_CrasSanity	timestamp=1455229582	localtime=Feb 11 16:26:22	2. CRAS stream count is not matching with number of streams.
16:26:17 INFO | autoserv| END ERROR	audio_CrasSanity	audio_CrasSanity	timestamp=1455229582	localtime=Feb 11 16:26:22
16:26:43 INFO | autoserv| END GOOD	----	----	timestamp=1455229608	localtime=Feb 11 16:26:48
16:26:43 INFO | autoserv| Got lock of exit_code_file.
16:26:43 INFO | autoserv| Released lock of exit_code_file and closed it.
16:26:45 INFO | autoserv| Client complete
16:26:46 INFO | autoserv| Finished processing control file
16:26:46 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_nxMa8rssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpO7RzJJ -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
