14:25:04 INFO | Running autotest_quickmerge step.
14:25:05 INFO | quickmerge| 14:25:05: INFO: RunCommand: sudo -- /usr/bin/python2 /mnt/host/source/chromite/bin/autotest_quickmerge '--board=lars'
14:25:06 INFO | quickmerge| 14:25:06: INFO: RunCommand: rsync -a --no-p '--chmod=ugo=rwX' -u -i '--exclude=**.pyc' '--exclude=**.pyo' '--exclude=** -> *' '--include-from=/mnt/host/source/chromite/scripts/autotest-quickmerge-includepatterns' '--exclude=*' /mnt/host/source/src/third_party/autotest/files/ /build/lars/usr/local/build/autotest/
14:25:06 INFO | quickmerge| 14:25:06: INFO: Updating portage database.
14:25:06 INFO | quickmerge| 14:25:06: INFO: RunCommand: touch /build/lars/usr/local/build/autotest/.quickmerge_sentinel
14:25:06 INFO | quickmerge| 14:25:06: INFO: Quickmerge complete. Created or modified 0 files.
14:25:06 INFO | Re-running test_that script in /build/lars/usr/local/build/autotest copy of autotest.
14:25:08 INFO | Began logging to /tmp/test_that_results_IzJbK7
Adding labels [u'cros-version:ad_hoc_build', u'board:lars'] to host 192.168.1.100
16:25:08 INFO | Fetching suite for suite named bvt-cq...
16:25:10 INFO | Scheduling suite for suite named bvt-cq...
16:25:10 INFO | ... scheduled 46 job(s).
16:25:11 INFO | autoserv| Results placed in /tmp/test_that_results_IzJbK7/results-01-audio_CrasSanity
16:25:11 INFO | autoserv| Logged pid 6190 to /tmp/test_that_results_IzJbK7/results-01-audio_CrasSanity/.autoserv_execute
16:25:11 INFO | autoserv| I am PID 6190
16:25:11 INFO | autoserv| Not checking if job_repo_url contains autotest packages on ['192.168.1.100']
16:25:11 INFO | autoserv| Processing control file
16:25:11 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_rc6an0ssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpXlVSua -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.100'
16:25:14 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_TAXLK5ssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.100'
16:25:17 INFO | autoserv| INFO	----	----	kernel=3.18.0-00003-g9bc7c2f	localtime=Feb 11 16:25:17	timestamp=1455229517
16:25:17 INFO | autoserv| Installing autotest on 192.168.1.100
16:25:17 INFO | autoserv| Using installation dir /usr/local/autotest
16:25:20 INFO | autoserv| Installation of autotest completed from /build/lars/usr/local/build/autotest/client/
16:25:20 INFO | autoserv| Installing updated global_config.ini.
16:25:29 INFO | autoserv| Executing /usr/local/autotest/bin/autotest /usr/local/autotest/control phase 0
16:25:29 INFO | autoserv| Entered autotestd_monitor.
16:25:29 INFO | autoserv| Finished launching tail subprocesses.
16:25:29 INFO | autoserv| Finished waiting on autotestd to start.
16:25:30 INFO | autoserv| START	----	----	timestamp=1455229535	localtime=Feb 11 16:25:35
16:25:30 INFO | autoserv| START	audio_CrasSanity	audio_CrasSanity	timestamp=1455229536	localtime=Feb 11 16:25:36
16:25:30 INFO | autoserv| Bundling /build/lars/usr/local/build/autotest/client/site_tests/audio_CrasSanity into test-audio_CrasSanity.tar.bz2
16:26:04 INFO | autoserv| GOOD	audio_CrasSanity	audio_CrasSanity	timestamp=1455229570	localtime=Feb 11 16:26:10	completed successfully
16:26:05 INFO | autoserv| END GOOD	audio_CrasSanity	audio_CrasSanity	timestamp=1455229570	localtime=Feb 11 16:26:10
16:26:17 INFO | autoserv| END GOOD	----	----	timestamp=1455229582	localtime=Feb 11 16:26:22
16:26:17 INFO | autoserv| Got lock of exit_code_file.
16:26:17 INFO | autoserv| Released lock of exit_code_file and closed it.
16:26:19 INFO | autoserv| Client complete
16:26:25 INFO | autoserv| Finished processing control file
