11:56:41 INFO | Running autotest_quickmerge step.
11:56:42 INFO | quickmerge| 11:56:42: INFO: RunCommand: sudo -- /usr/bin/python2 /mnt/host/source/chromite/bin/autotest_quickmerge '--board=lars'
11:56:42 INFO | quickmerge| 11:56:42: INFO: RunCommand: rsync -a --no-p '--chmod=ugo=rwX' -u -i '--exclude=**.pyc' '--exclude=**.pyo' '--exclude=** -> *' '--include-from=/mnt/host/source/chromite/scripts/autotest-quickmerge-includepatterns' '--exclude=*' /mnt/host/source/src/third_party/autotest/files/ /build/lars/usr/local/build/autotest/
11:56:43 INFO | quickmerge| 11:56:43: INFO: Updating portage database.
11:56:43 INFO | quickmerge| 11:56:43: INFO: RunCommand: touch /build/lars/usr/local/build/autotest/.quickmerge_sentinel
11:56:43 INFO | quickmerge| 11:56:43: INFO: Quickmerge complete. Created or modified 0 files.
11:56:43 INFO | Re-running test_that script in /build/lars/usr/local/build/autotest copy of autotest.
11:56:45 INFO | Began logging to /tmp/test_that_results_1La7n2
Adding labels [u'cros-version:ad_hoc_build', u'board:lars'] to host 192.168.1.50
13:56:45 INFO | Fetching suite for suite named bvt-cq...
13:56:46 INFO | Scheduling suite for suite named bvt-cq...
13:56:47 INFO | ... scheduled 46 job(s).
13:56:47 INFO | autoserv| Results placed in /tmp/test_that_results_1La7n2/results-01-audio_CrasSanity
13:56:47 INFO | autoserv| Logged pid 6052 to /tmp/test_that_results_1La7n2/results-01-audio_CrasSanity/.autoserv_execute
13:56:47 INFO | autoserv| I am PID 6052
13:56:47 INFO | autoserv| Not checking if job_repo_url contains autotest packages on ['192.168.1.50']
13:56:47 INFO | autoserv| Processing control file
13:56:47 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_k10cQ2ssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpdiNJPO -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.50'
13:56:48 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_n9kHDMssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.50'
13:56:49 INFO | autoserv| INFO	----	----	kernel=3.18.0-00003-g9bc7c2f	localtime=Feb 11 13:56:49	timestamp=1455220609
13:56:49 INFO | autoserv| Installing autotest on 192.168.1.50
13:56:49 INFO | autoserv| Using installation dir /usr/local/autotest
13:56:49 INFO | autoserv| Installation of autotest completed from /build/lars/usr/local/build/autotest/client/
13:56:49 INFO | autoserv| Installing updated global_config.ini.
13:56:49 INFO | autoserv| Executing /usr/local/autotest/bin/autotest /usr/local/autotest/control phase 0
13:56:50 INFO | autoserv| Entered autotestd_monitor.
13:56:50 INFO | autoserv| Finished launching tail subprocesses.
13:56:50 INFO | autoserv| Finished waiting on autotestd to start.
13:56:50 INFO | autoserv| START	----	----	timestamp=1455220615	localtime=Feb 11 13:56:55
13:56:50 INFO | autoserv| START	audio_CrasSanity	audio_CrasSanity	timestamp=1455220616	localtime=Feb 11 13:56:56
13:56:50 INFO | autoserv| Bundling /build/lars/usr/local/build/autotest/client/site_tests/audio_CrasSanity into test-audio_CrasSanity.tar.bz2
13:57:23 INFO | autoserv| ERROR	audio_CrasSanity	audio_CrasSanity	timestamp=1455220648	localtime=Feb 11 13:57:28	2. CRAS stream count is not matching with number of streams.
13:57:23 INFO | autoserv| END ERROR	audio_CrasSanity	audio_CrasSanity	timestamp=1455220648	localtime=Feb 11 13:57:28
13:57:24 INFO | autoserv| END GOOD	----	----	timestamp=1455220649	localtime=Feb 11 13:57:29
13:57:24 INFO | autoserv| Got lock of exit_code_file.
13:57:24 INFO | autoserv| Released lock of exit_code_file and closed it.
13:57:26 INFO | autoserv| Killing child processes.
13:57:26 INFO | autoserv| Client complete
13:57:26 INFO | autoserv| Finished processing control file
