11:28:59 INFO | Running autotest_quickmerge step.
11:28:59 INFO | quickmerge| 11:28:59: INFO: RunCommand: sudo -- /usr/bin/python2 /mnt/host/source/chromite/bin/autotest_quickmerge '--board=lars'
11:29:00 INFO | quickmerge| 11:29:00: INFO: RunCommand: rsync -a --no-p '--chmod=ugo=rwX' -u -i '--exclude=**.pyc' '--exclude=**.pyo' '--exclude=** -> *' '--include-from=/mnt/host/source/chromite/scripts/autotest-quickmerge-includepatterns' '--exclude=*' /mnt/host/source/src/third_party/autotest/files/ /build/lars/usr/local/build/autotest/
11:29:00 INFO | quickmerge| 11:29:00: INFO: Updating portage database.
11:29:01 INFO | quickmerge| 11:29:01: INFO: RunCommand: touch /build/lars/usr/local/build/autotest/.quickmerge_sentinel
11:29:01 INFO | quickmerge| 11:29:01: INFO: Quickmerge complete. Created or modified 0 files.
11:29:01 INFO | Re-running test_that script in /build/lars/usr/local/build/autotest copy of autotest.
11:29:02 INFO | Began logging to /tmp/test_that_results_Mo9M4N
Adding labels [u'cros-version:ad_hoc_build', u'board:lars'] to host 192.168.1.42
13:29:02 INFO | Fetching suite for suite named bvt-inline...
13:29:04 INFO | Scheduling suite for suite named bvt-inline...
13:29:04 INFO | ... scheduled 54 job(s).
13:29:05 INFO | autoserv| Results placed in /tmp/test_that_results_Mo9M4N/results-01-platform_DMVerityBitCorruption
13:29:05 INFO | autoserv| Logged pid 464 to /tmp/test_that_results_Mo9M4N/results-01-platform_DMVerityBitCorruption/.autoserv_execute
13:29:05 INFO | autoserv| I am PID 464
13:29:05 INFO | autoserv| Not checking if job_repo_url contains autotest packages on ['192.168.1.42']
13:29:05 INFO | autoserv| Processing control file
13:29:05 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_AblWa8ssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpqorvBm -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
13:29:10 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_oV8kN2ssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
13:29:15 INFO | autoserv| Timed out waiting for master-ssh connection to be established.
